"Sub Publisher",Attributions
51904,1
51fa13f27dfd34f2c912e734a9683ddd,1
52170,1
52188,2
522608201,1
52333,2
52334,16
523cf201d7f327f9aef08e5d49edab5ed2b10562,1
52421,3
5242caf9a,1
52505,22
52524,1
52539,19
52540,1
52584,1
52586,7
52598,5
52a764b09,4
52a764b09fd76a3932000008,4
52a861166,1
52b7d6c4108fe8347200000a,1
52eb1d5c1,1
52feb79227bc0e8b1f93b04b458448442dc5570f,2
5346f0237,1
53536,2
53624,3
53652,1
53687,1
53983,2
53987,1
53e0f922936129bc6d000033,1
5432c0f02f64768173000111,1
54443,4
54465,4
54538,1
54549,1
5455d27fcd36fecb8b6b32272d756816b4de5541,1
54602,497
54620,1
54627,62
54663,8
54676,1
54683,1
54684,5
54686,1
54691,2
54747,1
54789,2
54812,1
54814,4
54950,42
54990,2
54b3c863c,1
54b3c863cce46dc77000002f,1
54d6c432355699a8b9adb301d9dbf035ba62b3d0,1
55001dbe4fdebb3e3d00000d,1
550b9b50a21af39417000112,1
55105,7
55238,8
55301,5
553f51b76f6171135f00004a,1
5552167b1,1
55651,1
55732,11
55766,1
55783,1
55847,42
55848,13
5587c25959b1a0201a0001ad,1
55c9a4c36c09eb2e5b000388,1
55dc1da00,1
55ef5f4a54f4d7ba7d0000d6,1
55f9fd3a33fe9e205d000110,1
56078,2
56310,23
5631c2ccc,1
56373,1
5642ec07b3ec8e0d32000025,1
5645ea34d86cc1d66200000e,2
56473,2
56474,38
564eb851b,1
564eb851bb12d7121800001a,4
564fd9d0508f55b94c000008,1
56558,1
56647,15
56659bfed,1
5666223a1add9d293f000018,2
56685,6
566f71063fc0263d5a00000e,2
5672733ddad2b58449000017,1
56769,1
56804,1
56838,1
56873,86
568bada23,1
568bada231b4612e63000017,1
569cf3b29,1
569cf3b29ae6b1203d000008,4
56a2467db,2
56a2467dbfc176ec7b000019,6
56a5c7027,1
56a646fccb4c18454e000018,2
56a686ba19c0c94c09000010,1
56ab223d9255820e0c000047,2
56ad700a6,1
56b0a4581,1
56b0a4581d89ff1e6400000f,15
56b0a5ba43ecd9f862000014,10
56c1384b28e99fb832000013,2
56c440d7f9ec2fe858000044,4
56c464c928f3a9bc0e000016,1
56cc34230,2
56cc34230641f51a0600000b,11
56cc90cda6017fa622000020,1
56cdcf7a5b32e2bd5700000e,12
56d04d9dbc1a2d860300004e,1
56d480052,1
56d4800520e81b541f00000b,3
56d5e7721,1
56d91008f,1
56d91008fe06cd6a2200000a,2
56e16a71e0feca571200001b,2
56e907f08ccf74bd22000024,3
56fd29bfe919f3e231000024,2
57024bb87,1
57038c8df70229cf2900000b,1
5704745024ebe70620000008,1
5706011ee90075954e000021,2
57104,39
57122,80
57180,4
571de51b3fcc597c3900002e,1
57288428dfafa5325b00004f,2
5729a5f2b565467926000020,1
572c4f49526ba12d3000002d,1
57354ad3bcd197075600001b,2
573d50ba3e7558bf03000058,1
57459,1
574eb4635d4752e23d0000a5,1
57524,1
57543,1
57556e9670ba80d42b0000b7,3
575827ea989fd25d79000076,1
57604,1
57688,1
576b70314c2024a02eadf175aeee90dd65d105c4,2
57714,1
577276118f5548e05400016a,1
57746,2
57761,1
57806,1
57820,34
5784ebcb84b25f293500008f,1
5784ebf160438fcc4f000073,1
57854,5
57937,30
57987,2
